TEAM,march_madness,Conference,YEAR
Fairleigh Dickinson,R64,NEC,2019
Texas Southern,R64,SWAC,2017
North Carolina A&T,R64,MEAC,2013
Austin Peay,R64,OVC,2016
Hampton,R64,MEAC,2011
Texas Southern,R64,SWAC,2015
Arkansas Pine Bluff,R64,SWAC,2010
Texas Southern,R64,SWAC,2018
Hampton,R64,MEAC,2015
Hampton,R64,MEAC,2016
Holy Cross,R64,Pat,2016
Mississippi Valley St.,R64,SWAC,2008
